URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalReason,0.1.0,draft,,EvalReasonCS,Evaluation Reason,"The reason for the evaluation.","ValueSet/eval-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalStatus,0.1.0,draft,,EvalStatusCS,Evaluation Status,"The status of the result of an evaluation.","ValueSet/eval-status"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/IntervalReason,0.1.0,draft,,IntervalReasonCS,Interval Reason,"This value set includes codes for the reason an interval is considered to be invalid.","ValueSet/interval-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/PreferredAllowedReason,0.1.0,draft,,PreferredAllowedReasonCS,Reasons why certain doses are Preferred or Allowed doses,"Reasons why certain doses are Preferred or Allowed doses","ValueSet/preferred-allowed-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/VaccineGender,0.1.0,draft,,VaccineGenderCS,Vaccine Gender,"Value set for gender categories relevant to vaccination data.","ValueSet/vaccine-gender"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/ValidAgeReason,0.1.0,draft,,ValidAgeReasonCS,Valid Age Reason,"Value set for reasons why a patient's age is considered valid/invalid for a vaccine.","ValueSet/valid-age-reason"
http://hl7.org/fhir/sid/cvx,20250715,active,,CVX,CVX - US Vaccine Codes,"CVX Codes for vaccines","ValueSet/VaccineCodesCvxMvx"
http://hl7.org/fhir/sid/mvx,20201030,active,,MVX,MVX - Manufacturers of Vaccines,"MVX Codes for manufacturers of vaccines","ValueSet/VaccineCodesCvxMvx"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/vaccine-condition-codes-snomed,ValueSet/procedures,ConceptMap/SnomedToCdsiObservation,ValueSet/vaccine-medication-codes-snomed"
http://terminology.hl7.org/CodeSystem/immunization-subpotent-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1098",ImmunizationSubpotentReason,Immunization Subpotent Reason,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose is considered to be subpotent. This value set is provided as a suggestive example.","ValueSet/immunization-subpotent-reason"
