Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-bw-amr-ig.json	20505	-	0	0	0	0	0	0	10	83	0	0	0	0	0	0	0	1	0	0	138	129	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-botswana-amr-local-method-cs.json	1097	4	0	0	1	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	59	390	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-botswana-amr-local-organism-cs.json	3884	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	78	57	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-ExampleDiagnosticReportAMR.json	1180	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	37	24	0	0	0	0	0	0
fsh-generated/resources/Encounter-ExampleEncounterInpatient.json	471	2	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	31	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleGramStainNegative.json	1213	3	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	39	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleOrganismEcoli.json	2097	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	39	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleOrganismKlebsiella.json	2022	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSpecialTestEcoliEsbl.json	1199	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	32	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSpecialTestKlebEsbl.json	1198	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	39	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptEcoliAmoxClav.json	1606	2	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	33	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptEcoliAmpicillin.json	1592	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	37	10	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptEcoliCeftriaxone.json	1598	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	33	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptEcoliCiprofloxacin.json	1600	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptEcoliGentamicin.json	1596	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	34	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptEcoliNitrofurantoin.json	1604	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	35	10	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptEcoliTmpSmx.json	1608	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptKlebAmoxClav.json	1606	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	39	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptKlebAmpicillin.json	1591	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptKlebCeftriaxone.json	1597	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptKlebCiprofloxacin.json	1601	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptKlebGentamicin.json	1595	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	35	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleSusceptKlebMeropenem.json	1594	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	34	10	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-ExportWHONET.json	2087	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	62	10	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplePatientMotswana.json	338	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	11	0	0	0	0	0	0
fsh-generated/resources/Specimen-ExampleSpecimenUrine.json	946	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	12	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-botswana-amr-diagnostic-report.json	5210	2	0	31	0	0	0	0	0	37	0	0	0	0	0	0	0	1	0	0	275	620	0	1	0	5	1	0
fsh-generated/resources/StructureDefinition-botswana-amr-encounter.json	1438	2	0	55	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	282	301	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-botswana-amr-gram-stain-observation.json	4809	3	0	58	0	0	0	0	0	20	0	0	1	0	0	0	0	1	0	0	313	698	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-botswana-amr-organism-observation.json	5711	3	0	51	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	350	296	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-botswana-amr-patient.json	800	2	0	38	1	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	204	207	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-botswana-amr-special-test-observation.json	4805	2	0	49	0	0	0	0	1	21	0	0	0	0	0	0	0	1	0	0	311	433	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-botswana-amr-specimen.json	2982	2	0	38	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	207	165	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-botswana-amr-susceptibility-observation.json	5401	2	0	67	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	337	474	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-specimen-collection-location.json	1498	2	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	110	82	0	0	0	2	0	0
fsh-generated/resources/ValueSet-botswana-amr-antibiotic-susceptibility-loinc.json	6605	2	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	74	981	0	0	0	1	0	0
fsh-generated/resources/ValueSet-botswana-amr-ast-method-vs.json	924	1	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	55	118	0	0	0	0	0	0
fsh-generated/resources/ValueSet-botswana-amr-gram-stain-result-vs.json	961	2	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	64	135	0	0	0	0	0	0
fsh-generated/resources/ValueSet-botswana-amr-identification-method-vs.json	1395	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	66	194	0	0	0	1	0	0
fsh-generated/resources/ValueSet-botswana-amr-interpretation.json	755	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	59	97	0	0	0	0	0	0
fsh-generated/resources/ValueSet-botswana-amr-organism-vs.json	808	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	55	22259	0	0	0	0	0	0
fsh-generated/resources/ValueSet-botswana-amr-special-test-vs.json	1167	2	0	0	0	0	0	0	1	249	0	0	0	0	0	0	0	0	0	0	56	147	0	0	0	0	0	0
fsh-generated/resources/ValueSet-botswana-amr-specimen-site-vs.json	2065	2	0	0	1	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	62	578	0	0	0	1	0	0
