URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalReason,0.1.0,draft,,EvalReasonCS,Evaluation Reason,"The reason for the evaluation.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalStatus,0.1.0,draft,,EvalStatusCS,Cicada Evaluation Status,"Extension codes for dose evaluation status beyond the HL7 THO immunization-evaluation-dose-status CodeSystem. Only codes not covered by the standard are defined here.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/IntervalReason,0.1.0,draft,,IntervalReasonCS,Interval Reason,"This value set includes codes for the reason an interval is considered to be invalid.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/PreferredAllowedReason,0.1.0,draft,,PreferredAllowedReasonCS,Reasons why certain doses are Preferred or Allowed doses,"Reasons why certain doses are Preferred or Allowed doses",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/VaccineGender,0.1.0,draft,,VaccineGenderCS,Vaccine Gender,"Value set for gender categories relevant to vaccination data.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/ValidAgeReason,0.1.0,draft,,ValidAgeReasonCS,Valid Age Reason,"Value set for reasons why a patient's age is considered valid/invalid for a vaccine.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/cdsi-observation-codes,0.1.0,draft,,CdsiObservationCodes,CDSI Observation Codes,"Observations and Conditions that are important to indications or contraindications in vaccine forecasting",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/data-integrity,0.1.0,draft,,DataIntegrityCS,Cicada Data Integrity Code System,"Records that cannot describe an administration. CDSi evaluates a vaccine dose administered and defines the assessment date as the current date, so these doses are excluded from evaluation and forecasting and reported in an OperationOutcome. They are statements about the data, never about the patient's immunity, which is why they are not evaluation statuses.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/forecast-reason,0.1.0,draft,,CicadaForecastReasonCS,Cicada Forecast Reason Code System,"Why the engine forecast what it did. The ImmDS ForecastReason code system covers four of these; the rest have no ImmDS concept, and the ImmDS binding on ImmunizationRecommendation.recommendation.forecastReason is example strength, so they travel as a second coding rather than being dropped.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/series-type,0.1.0,draft,,SeriesTypeCS,Series Type Code System,"CDSi series type: whether a patient series is the routine schedule, one indicated by a risk condition, or evaluation-only. Mirrors the seriesType attribute of the CDSi antigen supporting data.",
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/target-dose-status,0.1.0,draft,,TargetDoseStatusCS,Target Dose Status Code System,"CDSi Table 3-2. The status of the target dose an administered dose was evaluated against. R4 ImmunizationEvaluation carries only doseNumber, derived from this, so a skipped target dose and a satisfied one are otherwise indistinguishable.",
