URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalReason,0.1.0,draft,,EvalReasonCS,Evaluation Reason,"The reason for the evaluation.","ValueSet/eval-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalStatus,0.1.0,draft,,EvalStatusCS,Evaluation Status,"The status of the result of an evaluation.","ValueSet/eval-status"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/IntervalReason,0.1.0,draft,,IntervalReasonCS,Interval Reason,"This value set includes codes for the reason an interval is considered to be invalid.","ValueSet/interval-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/PreferredAllowedReason,0.1.0,draft,,PreferredAllowedReasonCS,Reasons why certain doses are Preferred or Allowed doses,"Reasons why certain doses are Preferred or Allowed doses","ValueSet/preferred-allowed-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/VaccineGender,0.1.0,draft,,VaccineGenderCS,Vaccine Gender,"Value set for gender categories relevant to vaccination data.","ValueSet/vaccine-gender"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/ValidAgeReason,0.1.0,draft,,ValidAgeReasonCS,Valid Age Reason,"Value set for reasons why a patient's age is considered valid/invalid for a vaccine.","ValueSet/valid-age-reason"
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/CodeSystem/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1380",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-status"
http://hl7.org/fhir/CodeSystem/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1378",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","ValueSet/medicationrequest-intent"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/medicationrequest-status"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.134",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","ValueSet/allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.4.130",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/allergy-intolerance-criticality"
http://hl7.org/fhir/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.132",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergy-intolerance-type"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/reaction-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.4.136",AllergyIntoleranceSeverity,AllergyIntoleranceSeverity,"Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","ValueSet/reaction-event-severity"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/sid/cvx,20250715,active,,CVX,CVX - US Vaccine Codes,"CVX Codes for vaccines","ValueSet/VaccineCodesCvxMvx"
http://hl7.org/fhir/sid/mvx,20201030,active,,MVX,MVX - Manufacturers of Vaccines,"MVX Codes for manufacturers of vaccines","ValueSet/VaccineCodesCvxMvx"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/condition-stage,ValueSet/clinical-findings,ValueSet/approach-site-codes,ValueSet/procedure-followup,ValueSet/device-action,ValueSet/medication-form-codes,ValueSet/medication-codes,ValueSet/body-site,ValueSet/vaccine-medication-codes-snomed,ValueSet/manifestation-or-symptom,ValueSet/reason-medication-not-given-codes,ValueSet/reason-medication-status-codes,ValueSet/vaccine-condition-codes-snomed,ValueSet/device-kind,ValueSet/performer-role,ValueSet/immunization-reason,ValueSet/referencerange-appliesto,ValueSet/route-codes,ValueSet/procedures,ValueSet/procedure-reason,ValueSet/procedure-outcome,ValueSet/procedure-category,ValueSet/condition-code,ValueSet/condition-stage-type,ValueSet/procedure-not-performed-reason,ValueSet/observation-methods,ConceptMap/SnomedToCdsiObservation,ValueSet/administration-method-codes,ValueSet/condition-severity"
