URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalReason,0.1.0,draft,,EvalReasonCS,Evaluation Reason,"The reason for the evaluation.","ValueSet/eval-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/EvalStatus,0.1.0,draft,,EvalStatusCS,Cicada Evaluation Status,"Extension codes for dose evaluation status beyond the HL7 THO immunization-evaluation-dose-status CodeSystem. Only codes not covered by the standard are defined here.","ValueSet/eval-status"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/IntervalReason,0.1.0,draft,,IntervalReasonCS,Interval Reason,"This value set includes codes for the reason an interval is considered to be invalid.","ValueSet/interval-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/PreferredAllowedReason,0.1.0,draft,,PreferredAllowedReasonCS,Reasons why certain doses are Preferred or Allowed doses,"Reasons why certain doses are Preferred or Allowed doses","ValueSet/preferred-allowed-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/VaccineGender,0.1.0,draft,,VaccineGenderCS,Vaccine Gender,"Value set for gender categories relevant to vaccination data.","ValueSet/vaccine-gender"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/ValidAgeReason,0.1.0,draft,,ValidAgeReasonCS,Valid Age Reason,"Value set for reasons why a patient's age is considered valid/invalid for a vaccine.","ValueSet/valid-age-reason"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/data-integrity,0.1.0,draft,,DataIntegrityCS,Cicada Data Integrity Code System,"Records that cannot describe an administration. CDSi evaluates a vaccine dose administered and defines the assessment date as the current date, so these doses are excluded from evaluation and forecasting and reported in an OperationOutcome. They are statements about the data, never about the patient's immunity, which is why they are not evaluation statuses.","ValueSet/data-integrity-vs"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/forecast-reason,0.1.0,draft,,CicadaForecastReasonCS,Cicada Forecast Reason Code System,"Why the engine forecast what it did. The ImmDS ForecastReason code system covers four of these; the rest have no ImmDS concept, and the ImmDS binding on ImmunizationRecommendation.recommendation.forecastReason is example strength, so they travel as a second coding rather than being dropped.","ValueSet/forecast-reason-vs"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/series-type,0.1.0,draft,,SeriesTypeCS,Series Type Code System,"CDSi series type: whether a patient series is the routine schedule, one indicated by a risk condition, or evaluation-only. Mirrors the seriesType attribute of the CDSi antigen supporting data.","ValueSet/series-type-vs"
http://fhirfli.dev/fhir/ig/cicada/CodeSystem/target-dose-status,0.1.0,draft,,TargetDoseStatusCS,Target Dose Status Code System,"CDSi Table 3-2. The status of the target dose an administered dose was evaluated against. R4 ImmunizationEvaluation carries only doseNumber, derived from this, so a skipped target dose and a satisfied one are otherwise indistinguishable.","ValueSet/target-dose-status-vs"
http://hl7.org/fhir/sid/cvx,20250715,active,,CVX,CVX - US Vaccine Codes,"CVX Codes for vaccines","ValueSet/VaccineCodesCvxMvx"
http://hl7.org/fhir/sid/mvx,20201030,active,,MVX,MVX - Manufacturers of Vaccines,"MVX Codes for manufacturers of vaccines","ValueSet/VaccineCodesCvxMvx"
http://hl7.org/fhir/us/immds/CodeSystem/ForecastStatus,1.0.0,active,,ForecastStatus,Forecast Status,"A set of forecast statuses.","ValueSet/forecast-status"
http://hl7.org/fhir/us/immds/CodeSystem/StatusReason,1.0.0,active,,StatusReason,Evaluation Status Reason,"A set of reasons for the evaluation status.","ValueSet/dose-status-reason"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/vaccine-condition-codes-snomed,ValueSet/procedures,ConceptMap/SnomedToCdsiObservation,ValueSet/vaccine-medication-codes-snomed"
http://terminology.hl7.org/CodeSystem/immunization-evaluation-dose-status,1.0.1,active,"2.16.840.1.113883.4.642.1.1102",ImmunizationEvaluationDoseStatusCodes,Immunization Evaluation Dose Status codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the validity of a dose relative to a particular recommended schedule. This value set is provided as a suggestive example.","ValueSet/eval-status"
http://terminology.hl7.org/CodeSystem/immunization-recommendation-status,2.0.0,active,"2.16.840.1.113883.4.642.1.1104",ImmunizationRecommendationStatusCodes,Immunization Recommendation Status Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the status of the patient towards perceived immunity against a vaccine preventable disease. This value set is provided as a suggestive example.","ValueSet/forecast-status"
http://terminology.hl7.org/CodeSystem/immunization-subpotent-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1098",ImmunizationSubpotentReason,Immunization Subpotent Reason,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose is considered to be subpotent. This value set is provided as a suggestive example.","ValueSet/immunization-subpotent-reason"
